HMDB51/frame/shoot_gun/DefensivePistolShootingTechniques_shoot_gun_f_nm_np1_fr_med_1/,123,36
HMDB51/frame/kick/Veoh_Alpha_Dog_1_kick_f_nm_np1_ba_med_48/,52,21
HMDB51/frame/clap/Budam_-_Clap_Hands_clap_u_nm_np1_fr_med_2/,53,4
HMDB51/frame/sword/The_Last_Samurai_-_In_Your_Honor_sword_f_nm_np3_fr_bad_0/,57,45
HMDB51/frame/cartwheel/Boden_bung_Spoho_Eignungspr_fung_cartwheel_f_cm_np1_ri_med_2/,78,1
HMDB51/frame/eat/DONNIE_DARKO_eat_h_nm_np1_fr_med_1/,78,11
HMDB51/frame/push/Pushing_Music_Table_push_f_cm_np1_ri_bad_7/,92,28
HMDB51/frame/dribble/JordanWorld_sbest6yearoldBaller_dribble_f_cm_np1_fr_med_4/,140,9
HMDB51/frame/jump/RETURN_OF_THE_KING_jump_f_nm_np1_fr_bad_40/,72,19
HMDB51/frame/golf/Powergolf_Golf_Superdrive_mit_dem_Driver_340_Meter_golf_f_cm_np1_fr_med_0/,78,15
HMDB51/frame/cartwheel/Cartwheel_Contest_cartwheel_f_cm_np1_fr_med_3/,79,1
HMDB51/frame/walk/CastAway1_walk_f_nm_np1_ba_med_21/,163,49
HMDB51/frame/somersault/Ger_teturnen_Pr_fung_-_G_S_somersault_f_cm_np1_le_med_0/,78,41
HMDB51/frame/fencing/The_Scarlet_Pimpernel_-_duel_fencing_f_cm_np2_ba_goo_1/,76,13
HMDB51/frame/sword_exercise/Sword_and_Targe_Solo_Exercises_sword_exercise_u_cm_np1_le_med_8/,154,44
HMDB51/frame/sit/Man_Who_Cheated_Himself_512kb_sit_u_cm_np1_ri_med_6/,105,37
HMDB51/frame/ride_horse/ALeapToFreedom_ride_horse_f_nm_np1_ri_med_0/,110,31
HMDB51/frame/shoot_bow/Updatedvideoofmeshootingteamusaarchery_shoot_bow_u_cm_np1_ba_med_6/,241,35
HMDB51/frame/walk/MeettheParents_walk_f_cm_np1_fr_med_10/,50,49
HMDB51/frame/pullup/Pull-ups_+_Push_ups-_a_time-saving_workout_pullup_u_cm_np1_ri_med_2/,79,26
HMDB51/frame/fencing/Mark_of_Zorro_-_Fencing_Fight_!_fencing_f_cm_np2_fr_goo_1/,150,13
HMDB51/frame/kick/THE_PROTECTOR_kick_f_cm_np1_ba_med_69/,50,21
HMDB51/frame/shoot_gun/FirearmsTraining_shoot_gun_u_nm_np1_ri_goo_6/,174,36
HMDB51/frame/run/The_Fugitive_5_run_f_nm_np1_ba_med_12/,73,32
HMDB51/frame/shoot_ball/Finding_Forrester_3_shoot_ball_h_nm_np2_le_med_4/,88,34
HMDB51/frame/pullup/FREESTYLIN_ON_THE_PULL-BAR_pullup_u_cm_np1_le_med_2/,79,26
HMDB51/frame/climb_stairs/Empire_State_Building_Run-Up_climb_stairs_f_cm_np1_ba_med_3/,77,5
HMDB51/frame/laugh/Best_Of_Skype_Laughter_Chain_laugh_h_nm_np1_fr_med_26/,213,23
HMDB51/frame/push/Alexander_pushing_the_table_push_u_cm_np1_fr_med_2/,78,28
HMDB51/frame/smoke/Raucher_TRICK_xD_smoke_u_cm_np1_fr_med_3/,117,40
HMDB51/frame/cartwheel/Gymnastics_-_How_to_Do_a_Perfect_Cartwheel_cartwheel_f_cm_np1_le_med_1/,101,1
HMDB51/frame/golf/Paula_Creamer_golf_f_cm_np1_ri_med_0/,77,15
HMDB51/frame/climb/Rock_Climbing_Nationals_08_Emily_Harrington_and_Lauren_Lee_climb_f_cm_np1_ba_med_3/,193,6
HMDB51/frame/pushup/Chest_workout-_hip_pushups_pushup_u_nm_np1_ri_med_0/,228,29
HMDB51/frame/kick_ball/Wayne_Rooney_At_Home_Funny_Must_See_kick_ball_f_cm_np1_le_bad_4/,41,20
HMDB51/frame/ride_horse/Paula_sHorsebackRidingLesson!7_22_08_ride_horse_f_cm_np1_ri_med_3/,151,31
HMDB51/frame/catch/Goalkeeper_Training_Day_#_2_catch_f_cm_np1_ba_bad_5/,33,2
HMDB51/frame/dribble/How_to_Improve_Your_Basketball_Skills_-_How_to_Dribble_a_Basketball_Between_the_Legs_dribble_f_cm_np1_ri_med_5/,77,9
HMDB51/frame/chew/Wanda_Su_and_niece__T__blowing_bubbles_chew_u_nm_np2_fr_med_2/,131,3
HMDB51/frame/brush_hair/Trannydude___Brushing_SyntheticHair___OhNOES!__those_fukin_knots!_brush_hair_u_nm_np1_fr_goo_1/,238,0
HMDB51/frame/jump/Goalkeeper_Felix_Schwake_jump_f_nm_np1_le_bad_7/,60,19
HMDB51/frame/laugh/Re-_Skype_Laughter_Chain_3_laugh_h_nm_np2_fr_med_0/,183,23
HMDB51/frame/somersault/So_turnt_man_richtig!!!_somersault_f_cm_np1_fr_med_5/,102,41
HMDB51/frame/walk/LittleChildren_walk_f_cm_np1_fr_med_3/,166,49
HMDB51/frame/pick/Eco-Tex_picks_up_Trash_pick_f_cm_np1_ri_med_0/,79,24
HMDB51/frame/shoot_ball/LeeHomandBlackieplayingbasketball_shoot_ball_u_cm_np1_ri_med_3/,81,34
HMDB51/frame/ride_horse/ChelseaLately-Chelsea_ride_horse_f_cm_np1_le_med_3/,79,31
HMDB51/frame/clap/The_Slow_Clap_clap_u_nm_np2_fr_med_8/,64,4
HMDB51/frame/hug/Calins_gratuits_a_Paris_-_Free_Hugs_France_-_version_longue_hug_u_cm_np2_ba_med_22/,55,18
HMDB51/frame/pour/Kamikaze_Martini_Coctail_pour_u_nm_np1_fr_med_0/,170,25
HMDB51/frame/kick_ball/Ribery_Torwandschiessen_Sportstudio_kick_ball_f_nm_np1_ba_med_4/,104,20
HMDB51/frame/ride_horse/Return_of_the_King_11_ride_horse_f_cm_np4_ba_med_4/,92,31
HMDB51/frame/flic_flac/Cati_Flic_Flac_flic_flac_f_cm_np1_ri_med_0/,76,14
HMDB51/frame/golf/Probably_the_best_golf_shot_in_the_world_ever!!!_golf_f_cm_np1_ba_med_0/,78,15
HMDB51/frame/push/Return_of_the_King_10_push_u_cm_np1_le_med_3/,88,28
HMDB51/frame/ride_horse/Paula_sHorsebackRidingLesson!7_22_08_ride_horse_f_cm_np1_ri_med_7/,138,31
HMDB51/frame/kick_ball/Wayne_Rooney_At_Home_Funny_Must_See_kick_ball_f_cm_np1_le_bad_5/,102,20
HMDB51/frame/fencing/Hamlet_(1996)_Fencing_Scenes_fencing_u_cm_np2_fr_med_3/,81,13
HMDB51/frame/eat/WeddingCrashers_eat_h_cm_np1_fr_med_4/,52,11
HMDB51/frame/laugh/Best_Of_Skype_Laughter_Chain_laugh_h_nm_np1_fr_goo_16/,78,23
HMDB51/frame/talk/Pirates_1_talk_h_nm_np1_fr_goo_2/,118,46
HMDB51/frame/push/Trevor_pushing_cart_push_f_cm_np1_ri_bad_1/,87,28
HMDB51/frame/walk/NOVA_ELEGANTUNIVERSE1_walk_f_nm_np1_le_med_3/,108,49
HMDB51/frame/shoot_bow/ArcherySVK_shoot_bow_u_cm_np1_fr_med_1/,291,35
HMDB51/frame/kick/Prelinger_ActYourA1949_kick_f_nm_np1_ri_bad_10/,63,21
HMDB51/frame/shoot_bow/ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_11/,79,35
HMDB51/frame/catch/torwart_de-Camp_2009_-_Hohe_B_lle_catch_f_cm_np1_ba_med_2/,48,2
HMDB51/frame/dive/Basejumping_Compilation_Part_3_dive_f_cm_np1_le_bad_0/,37,7
HMDB51/frame/smoke/girl_smoking_smoke_h_cm_np1_ri_goo_1/,101,40
HMDB51/frame/dive/hecht_sprung_dive_f_cm_np1_ri_bad_0/,78,7
HMDB51/frame/fencing/Rapier_vs_longsword_Mike_fencing_f_cm_np2_ri_bad_3/,51,13
HMDB51/frame/shoot_ball/Anamazingbasketballshot_shoot_ball_f_cm_np1_ba_med_0/,61,34
HMDB51/frame/kick_ball/Nike_Soccer_Commercial_-_Good_vs__Evil_kick_ball_f_cm_np1_fr_med_0/,66,20
HMDB51/frame/turn/happy_go_lovely_turn_u_nm_np1_fr_med_1/,54,48
HMDB51/frame/walk/BATMAN_BEGINS_walk_f_cm_np1_fr_med_4/,101,49
HMDB51/frame/laugh/Skype_Laughter_Chain_laugh_u_cm_np1_fr_goo_1/,173,23
HMDB51/frame/dribble/Basic_Basketball_Moves_dribble_f_nm_np1_fr_goo_2/,78,9
HMDB51/frame/sword_exercise/The_Last_Samurai_-_In_Your_Honor_sword_exercise_u_cm_np5_fr_bad_3/,63,44
HMDB51/frame/walk/Sixthsense_walk_u_nm_np1_ba_med_2/,53,49
HMDB51/frame/handstand/Uni-Koblenz_Normfreies_Turnen__WS_05_06__Pr_fung_handstand_f_cm_np1_le_bad_3/,79,16
HMDB51/frame/run/BLACK_HAWK_DOWN_run_f_cm_np1_ba_med_30/,73,32
HMDB51/frame/run/Crash_run_l_cm_np1_fr_med_21/,36,32
HMDB51/frame/walk/Eurotrip_walk_f_nm_np1_fr_med_8/,104,49
HMDB51/frame/fall_floor/Fellowship_6_fall_floor_f_nm_np1_fr_med_9/,42,12
HMDB51/frame/drink/SweeneyTodd_drink_u_nm_np1_le_goo_23/,72,10
HMDB51/frame/talk/Fellowship_6_talk_h_cm_np1_fr_goo_14/,58,46
HMDB51/frame/turn/TheBoondockSaints_turn_u_cm_np1_ri_med_91/,107,48
HMDB51/frame/kick_ball/metacafe_coolsoccer_kick_ball_f_cm_np1_ba_bad_7/,99,20
HMDB51/frame/shoot_gun/TheBoondockSaints_shoot_gun_u_cm_np1_fr_med_107/,49,36
